symbol,date,price
"新北市",Jan 2013,98147
"新北市",Feb 2013,98147
"新北市",Mar 2013,98147
"新北市",Apr 2013,98147
"新北市",May 2013,98147
"新北市",Jun 2013,98147
"新北市",Jul 2013,98147
"新北市",Aug 2013,98147
"新北市",Sep 2013,98147
"新北市",Oct 2013,98147
"新北市",Nov 2013,98147
"新北市",Dec 2013,98147
"新北市",Jan 2014,99014
"新北市",Feb 2014,99014
"新北市",Mar 2014,99014
"新北市",Apr 2014,99014
"新北市",May 2014,99014
"新北市",Jun 2014,99014
"新北市",Jul 2014,99014
"新北市",Aug 2014,99014
"新北市",Sep 2014,99014
"新北市",Oct 2014,99014
"新北市",Nov 2014,99014
"新北市",Dec 2014,99014
"新北市",Jan 2015,96123
"新北市",Feb 2015,96123
"新北市",Mar 2015,96123
"新北市",Apr 2015,96123
"新北市",May 2015,96123
"新北市",Jun 2015,96123
"新北市",Jul 2015,96123
"新北市",Aug 2015,96123
"新北市",Sep 2015,96123
"新北市",Oct 2015,96123
"新北市",Nov 2015,96123
"新北市",Dec 2015,96123
"新北市",Jan 2016,89773
"新北市",Feb 2016,89773
"新北市",Mar 2016,89773
"新北市",Apr 2016,89773
"新北市",May 2016,89773
"新北市",Jun 2016,89773
"新北市",Jul 2016,89773
"新北市",Aug 2016,89773
"新北市",Sep 2016,89773
"新北市",Oct 2016,89773
"新北市",Nov 2016,89773
"新北市",Dec 2016,89773
"新北市",Jan 2017,107157
"新北市",Feb 2017,107157
"新北市",Mar 2017,107157
"新北市",Apr 2017,107157
"新北市",May 2017,107157
"新北市",Jun 2017,107157
"新北市",Jul 2017,107157
"新北市",Aug 2017,107157
"新北市",Sep 2017,107157
"新北市",Oct 2017,107157
"新北市",Nov 2017,107157
"新北市",Dec 2017,107157
"臺北市",Jan 2013,75409
"臺北市",Feb 2013,75409
"臺北市",Mar 2013,75409
"臺北市",Apr 2013,75409
"臺北市",May 2013,75409
"臺北市",Jun 2013,75409
"臺北市",Jul 2013,75409
"臺北市",Aug 2013,75409
"臺北市",Sep 2013,75409
"臺北市",Oct 2013,75409
"臺北市",Nov 2013,75409
"臺北市",Dec 2013,75409
"臺北市",Jan 2014,74074
"臺北市",Feb 2014,74074
"臺北市",Mar 2014,74074
"臺北市",Apr 2014,74074
"臺北市",May 2014,74074
"臺北市",Jun 2014,74074
"臺北市",Jul 2014,74074
"臺北市",Aug 2014,74074
"臺北市",Sep 2014,74074
"臺北市",Oct 2014,74074
"臺北市",Nov 2014,74074
"臺北市",Dec 2014,74074
"臺北市",Jan 2015,75128
"臺北市",Feb 2015,75128
"臺北市",Mar 2015,75128
"臺北市",Apr 2015,75128
"臺北市",May 2015,75128
"臺北市",Jun 2015,75128
"臺北市",Jul 2015,75128
"臺北市",Aug 2015,75128
"臺北市",Sep 2015,75128
"臺北市",Oct 2015,75128
"臺北市",Nov 2015,75128
"臺北市",Dec 2015,75128
"臺北市",Jan 2016,79313
"臺北市",Feb 2016,79313
"臺北市",Mar 2016,79313
"臺北市",Apr 2016,79313
"臺北市",May 2016,79313
"臺北市",Jun 2016,79313
"臺北市",Jul 2016,79313
"臺北市",Aug 2016,79313
"臺北市",Sep 2016,79313
"臺北市",Oct 2016,79313
"臺北市",Nov 2016,79313
"臺北市",Dec 2016,79313
"臺北市",Jan 2017,90922
"臺北市",Feb 2017,90922
"臺北市",Mar 2017,90922
"臺北市",Apr 2017,90922
"臺北市",May 2017,90922
"臺北市",Jun 2017,90922
"臺北市",Jul 2017,90922
"臺北市",Aug 2017,90922
"臺北市",Sep 2017,90922
"臺北市",Oct 2017,90922
"臺北市",Nov 2017,90922
"臺北市",Dec 2017,90922
"桃園市",Jan 2013,0
"桃園市",Feb 2013,0
"桃園市",Mar 2013,0
"桃園市",Apr 2013,0
"桃園市",May 2013,0
"桃園市",Jun 2013,0
"桃園市",Jul 2013,0
"桃園市",Aug 2013,0
"桃園市",Sep 2013,0
"桃園市",Oct 2013,0
"桃園市",Nov 2013,0
"桃園市",Dec 2013,0
"桃園市",Jan 2014,0
"桃園市",Feb 2014,0
"桃園市",Mar 2014,0
"桃園市",Apr 2014,0
"桃園市",May 2014,0
"桃園市",Jun 2014,0
"桃園市",Jul 2014,0
"桃園市",Aug 2014,0
"桃園市",Sep 2014,0
"桃園市",Oct 2014,0
"桃園市",Nov 2014,0
"桃園市",Dec 2014,0
"桃園市",Jan 2015,30641
"桃園市",Feb 2015,30641
"桃園市",Mar 2015,30641
"桃園市",Apr 2015,30641
"桃園市",May 2015,30641
"桃園市",Jun 2015,30641
"桃園市",Jul 2015,30641
"桃園市",Aug 2015,30641
"桃園市",Sep 2015,30641
"桃園市",Oct 2015,30641
"桃園市",Nov 2015,30641
"桃園市",Dec 2015,30641
"桃園市",Jan 2016,29470
"桃園市",Feb 2016,29470
"桃園市",Mar 2016,29470
"桃園市",Apr 2016,29470
"桃園市",May 2016,29470
"桃園市",Jun 2016,29470
"桃園市",Jul 2016,29470
"桃園市",Aug 2016,29470
"桃園市",Sep 2016,29470
"桃園市",Oct 2016,29470
"桃園市",Nov 2016,29470
"桃園市",Dec 2016,29470
"桃園市",Jan 2017,39530
"桃園市",Feb 2017,39530
"桃園市",Mar 2017,39530
"桃園市",Apr 2017,39530
"桃園市",May 2017,39530
"桃園市",Jun 2017,39530
"桃園市",Jul 2017,39530
"桃園市",Aug 2017,39530
"桃園市",Sep 2017,39530
"桃園市",Oct 2017,39530
"桃園市",Nov 2017,39530
"桃園市",Dec 2017,39530
"臺中市",Jan 2013,36793
"臺中市",Feb 2013,36793
"臺中市",Mar 2013,36793
"臺中市",Apr 2013,36793
"臺中市",May 2013,36793
"臺中市",Jun 2013,36793
"臺中市",Jul 2013,36793
"臺中市",Aug 2013,36793
"臺中市",Sep 2013,36793
"臺中市",Oct 2013,36793
"臺中市",Nov 2013,36793
"臺中市",Dec 2013,36793
"臺中市",Jan 2014,37556
"臺中市",Feb 2014,37556
"臺中市",Mar 2014,37556
"臺中市",Apr 2014,37556
"臺中市",May 2014,37556
"臺中市",Jun 2014,37556
"臺中市",Jul 2014,37556
"臺中市",Aug 2014,37556
"臺中市",Sep 2014,37556
"臺中市",Oct 2014,37556
"臺中市",Nov 2014,37556
"臺中市",Dec 2014,37556
"臺中市",Jan 2015,35493
"臺中市",Feb 2015,35493
"臺中市",Mar 2015,35493
"臺中市",Apr 2015,35493
"臺中市",May 2015,35493
"臺中市",Jun 2015,35493
"臺中市",Jul 2015,35493
"臺中市",Aug 2015,35493
"臺中市",Sep 2015,35493
"臺中市",Oct 2015,35493
"臺中市",Nov 2015,35493
"臺中市",Dec 2015,35493
"臺中市",Jan 2016,33238
"臺中市",Feb 2016,33238
"臺中市",Mar 2016,33238
"臺中市",Apr 2016,33238
"臺中市",May 2016,33238
"臺中市",Jun 2016,33238
"臺中市",Jul 2016,33238
"臺中市",Aug 2016,33238
"臺中市",Sep 2016,33238
"臺中市",Oct 2016,33238
"臺中市",Nov 2016,33238
"臺中市",Dec 2016,33238
"臺中市",Jan 2017,51384
"臺中市",Feb 2017,51384
"臺中市",Mar 2017,51384
"臺中市",Apr 2017,51384
"臺中市",May 2017,51384
"臺中市",Jun 2017,51384
"臺中市",Jul 2017,51384
"臺中市",Aug 2017,51384
"臺中市",Sep 2017,51384
"臺中市",Oct 2017,51384
"臺中市",Nov 2017,51384
"臺中市",Dec 2017,51384
"臺南市",Jan 2013,23047
"臺南市",Feb 2013,23047
"臺南市",Mar 2013,23047
"臺南市",Apr 2013,23047
"臺南市",May 2013,23047
"臺南市",Jun 2013,23047
"臺南市",Jul 2013,23047
"臺南市",Aug 2013,23047
"臺南市",Sep 2013,23047
"臺南市",Oct 2013,23047
"臺南市",Nov 2013,23047
"臺南市",Dec 2013,23047
"臺南市",Jan 2014,22908
"臺南市",Feb 2014,22908
"臺南市",Mar 2014,22908
"臺南市",Apr 2014,22908
"臺南市",May 2014,22908
"臺南市",Jun 2014,22908
"臺南市",Jul 2014,22908
"臺南市",Aug 2014,22908
"臺南市",Sep 2014,22908
"臺南市",Oct 2014,22908
"臺南市",Nov 2014,22908
"臺南市",Dec 2014,22908
"臺南市",Jan 2015,22279
"臺南市",Feb 2015,22279
"臺南市",Mar 2015,22279
"臺南市",Apr 2015,22279
"臺南市",May 2015,22279
"臺南市",Jun 2015,22279
"臺南市",Jul 2015,22279
"臺南市",Aug 2015,22279
"臺南市",Sep 2015,22279
"臺南市",Oct 2015,22279
"臺南市",Nov 2015,22279
"臺南市",Dec 2015,22279
"臺南市",Jan 2016,21054
"臺南市",Feb 2016,21054
"臺南市",Mar 2016,21054
"臺南市",Apr 2016,21054
"臺南市",May 2016,21054
"臺南市",Jun 2016,21054
"臺南市",Jul 2016,21054
"臺南市",Aug 2016,21054
"臺南市",Sep 2016,21054
"臺南市",Oct 2016,21054
"臺南市",Nov 2016,21054
"臺南市",Dec 2016,21054
"臺南市",Jan 2017,27383
"臺南市",Feb 2017,27383
"臺南市",Mar 2017,27383
"臺南市",Apr 2017,27383
"臺南市",May 2017,27383
"臺南市",Jun 2017,27383
"臺南市",Jul 2017,27383
"臺南市",Aug 2017,27383
"臺南市",Sep 2017,27383
"臺南市",Oct 2017,27383
"臺南市",Nov 2017,27383
"臺南市",Dec 2017,27383
"高雄市",Jan 2013,34935
"高雄市",Feb 2013,34935
"高雄市",Mar 2013,34935
"高雄市",Apr 2013,34935
"高雄市",May 2013,34935
"高雄市",Jun 2013,34935
"高雄市",Jul 2013,34935
"高雄市",Aug 2013,34935
"高雄市",Sep 2013,34935
"高雄市",Oct 2013,34935
"高雄市",Nov 2013,34935
"高雄市",Dec 2013,34935
"高雄市",Jan 2014,36047
"高雄市",Feb 2014,36047
"高雄市",Mar 2014,36047
"高雄市",Apr 2014,36047
"高雄市",May 2014,36047
"高雄市",Jun 2014,36047
"高雄市",Jul 2014,36047
"高雄市",Aug 2014,36047
"高雄市",Sep 2014,36047
"高雄市",Oct 2014,36047
"高雄市",Nov 2014,36047
"高雄市",Dec 2014,36047
"高雄市",Jan 2015,33514
"高雄市",Feb 2015,33514
"高雄市",Mar 2015,33514
"高雄市",Apr 2015,33514
"高雄市",May 2015,33514
"高雄市",Jun 2015,33514
"高雄市",Jul 2015,33514
"高雄市",Aug 2015,33514
"高雄市",Sep 2015,33514
"高雄市",Oct 2015,33514
"高雄市",Nov 2015,33514
"高雄市",Dec 2015,33514
"高雄市",Jan 2016,30977
"高雄市",Feb 2016,30977
"高雄市",Mar 2016,30977
"高雄市",Apr 2016,30977
"高雄市",May 2016,30977
"高雄市",Jun 2016,30977
"高雄市",Jul 2016,30977
"高雄市",Aug 2016,30977
"高雄市",Sep 2016,30977
"高雄市",Oct 2016,30977
"高雄市",Nov 2016,30977
"高雄市",Dec 2016,30977
"高雄市",Jan 2017,45744
"高雄市",Feb 2017,45744
"高雄市",Mar 2017,45744
"高雄市",Apr 2017,45744
"高雄市",May 2017,45744
"高雄市",Jun 2017,45744
"高雄市",Jul 2017,45744
"高雄市",Aug 2017,45744
"高雄市",Sep 2017,45744
"高雄市",Oct 2017,45744
"高雄市",Nov 2017,45744
"高雄市",Dec 2017,45744
